Slab Width,Slab Length,AL,B,C,CA,NB,CR,CU,MN,MO,N,NI,P,S,SI,TI,V,Reheating Furnace Exit Temp,Finishing Temp,Coiling Temp,FM Exit Thickness,Coil Outr Dia,Avg line speed,weld pressure,Reduction Ratio,ACL-Thickness,ACL-Width,ACL-Length,O2 in Heating Element Furnace,Radiant Tube Furnace Dewpoint,After Tube Cooling Dewpoint,Rapid Jet Cooling Dewpoint,Coating Thickness,Drying Furnace Press,B50,Hardness,Coreloss-Before Aging,Coreloss After Aging,Permeability
1265.0,9730.0,0.002,0.0001,0.0012,0.0002,0.0002,0.026,0.006,0.21,0.001,0.0012,0.007,0.046,0.005,0.681,0.0004,0.0004,1099.0,876.0,668.0,2.79,1695.286,111.512,841.0,0.82078853,0.5,1185.0,4109.095,1.23345,-18.5,-26.132,-18.20668,1.5,-6.026,1.73,128.0,5.7,5.74,1963.0
1265.0,9730.0,0.001,0.0001,0.0016,0.0001,0.0002,0.031,0.006,0.2,0.001,0.0015,0.007,0.046,0.005,0.65,0.0003,0.0004,1034.0,854.0,677.0,2.8,1058.466,107.941,850.0,0.821428571,0.5,1185.0,1354.476,1.228172,-99.0,-99.0,-98.99991,1.55,-6.324,1.73,120.0,5.92,5.92,1921.0
1265.0,7810.0,0.002,0.0001,0.0012,0.0002,0.0002,0.026,0.006,0.21,0.001,0.0012,0.007,0.046,0.005,0.681,0.0004,0.0004,1070.0,865.0,677.0,2.8,989.851,97.757,848.0,0.821428571,0.5,1183.0,1133.707,1.240963,-25.112,-23.253,-12.1696,1.48,-6.512,1.72,124.0,5.15,5.15,1853.0
1265.0,9730.0,0.001,0.0001,0.0016,0.0001,0.0002,0.031,0.006,0.2,0.001,0.0015,0.007,0.046,0.005,0.65,0.0003,0.0004,1088.0,895.0,688.0,2.8,1060.125,97.797,842.0,0.821428571,0.5,1183.0,1208.199,1.211724,-23.525,-27.873,-12.54678,1.41,-6.806,1.74,121.0,5.42,5.47,2071.0
1265.0,9730.0,0.001,0.0001,0.0016,0.0001,0.0002,0.031,0.006,0.2,0.001,0.0015,0.007,0.046,0.005,0.65,0.0003,0.0004,1092.0,885.0,681.0,2.8,1703.997,98.349,849.0,0.821428571,0.5,1183.0,1518.756,1.225437,-19.758,-25.796,-16.47658,1.37,-6.831,1.72,122.0,5.38,5.4,1747.0
1265.0,9730.0,0.001,0.0001,0.0016,0.0001,0.0002,0.031,0.006,0.2,0.001,0.0015,0.007,0.046,0.005,0.65,0.0003,0.0004,1088.0,886.0,682.0,2.8,1690.022,109.322,841.0,0.821428571,0.5,1185.0,1320.971,1.221923,-21.789,-21.744,-13.94559,1.43,-5.903,1.73,121.0,5.94,5.98,1925.0
1265.0,9730.0,0.001,0.0001,0.0016,0.0001,0.0002,0.031,0.006,0.2,0.001,0.0015,0.007,0.046,0.005,0.65,0.0003,0.0004,1085.0,880.0,668.0,2.8,1064.741,111.463,848.0,0.821428571,0.5,1185.0,228.977,1.217797,-17.322,-26.088,-17.33791,1.6,-6.239,1.73,127.0,5.93,5.94,1920.0
1265.0,9730.0,0.001,0.0001,0.0016,0.0001,0.0002,0.031,0.006,0.2,0.001,0.0015,0.007,0.046,0.005,0.65,0.0003,0.0004,1092.0,883.0,680.0,2.8,1062.308,106.601,849.0,0.821428571,0.5,1185.0,1367.274,1.252581,-22.554,-24.254,-9.078559,1.49,-6.357,1.73,120.0,6.02,6.03,1891.0
1265.0,9730.0,0.001,0.0001,0.0015,0.0002,0.0002,0.03,0.005,0.22,0.001,0.0016,0.008,0.05,0.005,0.65,0.0004,0.0005,1083.0,873.0,676.0,2.8,1061.917,110.68,848.0,0.821428571,0.5,1185.0,1365.972,1.23655,-23.143,-24.33,-16.88443,1.5,-5.995,1.74,127.0,5.67,5.72,2097.0
1265.0,9730.0,0.001,0.0001,0.0015,0.0002,0.0002,0.03,0.005,0.22,0.001,0.0016,0.008,0.05,0.005,0.65,0.0004,0.0005,1063.0,863.0,679.0,2.8,1063.879,97.899,849.0,0.821428571,0.5,1183.0,1349.263,1.205535,-20.119,-24.767,-13.86326,1.33,-6.821,1.72,123.0,5.23,5.24,1820.0
1265.0,9730.0,0.001,0.0001,0.0015,0.0002,0.0002,0.03,0.005,0.22,0.001,0.0016,0.008,0.05,0.005,0.65,0.0004,0.0005,1082.0,879.0,680.0,2.8,1064.641,97.861,850.0,0.821428571,0.5,1183.0,1224.997,1.213481,-21.339,-28.532,-12.96962,1.37,-6.792,1.73,122.0,5.06,5.09,1934.0
1265.0,8770.0,0.002,0.0001,0.0012,0.0002,0.0002,0.026,0.006,0.21,0.001,0.0012,0.007,0.046,0.005,0.681,0.0004,0.0004,1064.0,866.0,678.0,2.79,1014.869,101.069,851.0,0.82078853,0.5,1183.0,1112.361,1.228378,-24.119,-29.55,-19.67147,1.59,-6.546,1.72,123.0,5.32,5.32,1906.0
